Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Linear,HighCurve,70-30,0.7,AROW,Linear,0.9842744817726948,0.978
Non-Linear,HighCurve,70-30,0.7,AROW,Kernel,0.9758558558558559,0.9665
Non-Linear,HighCurve,70-30,0.7,OGC,Linear,0.9789360942520529,0.9705
Non-Linear,HighCurve,70-30,0.7,OGC,Kernel,0.9753483386923901,0.9655
Non-Linear,HighCurve,70-30,0.7,SCW,Linear,0.8235294117647058,0.7
Non-Linear,HighCurve,70-30,0.7,SCW,Kernel,0.8796392646548734,0.8265
Non-Linear,HighCurve,70-30,0.7,RDA,Linear,0.8525239194985154,0.7765
Non-Linear,HighCurve,70-30,0.7,RDA,Kernel,0.8235294117647058,0.7
Non-Linear,HighCurve,70-30,0.7,AdaRDA,Linear,0.8585147247119078,0.779
Non-Linear,HighCurve,70-30,0.7,AdaRDA,Kernel,0.8235294117647058,0.7
Non-Linear,HighCurve,90-10,0.9,PA,Linear,0.9868088689306764,0.9765
Non-Linear,HighCurve,90-10,0.9,PA,Kernel,0.9933444259567388,0.988
Non-Linear,HighCurve,90-10,0.9,Perceptron,Linear,0.9730343457280727,0.9525
Non-Linear,HighCurve,90-10,0.9,Perceptron,Kernel,0.9919466814773674,0.9855
Non-Linear,HighCurve,90-10,0.9,AROW,Linear,0.9904868494683827,0.983
Non-Linear,HighCurve,90-10,0.9,AROW,Kernel,0.987825124515772,0.978
Non-Linear,HighCurve,90-10,0.9,OGC,Linear,0.9902207320480582,0.9825
Non-Linear,HighCurve,90-10,0.9,OGC,Kernel,0.9905607995558023,0.983
Non-Linear,HighCurve,90-10,0.9,SCW,Linear,0.9473684210526315,0.9
Non-Linear,HighCurve,90-10,0.9,SCW,Kernel,0.9889380530973452,0.98
Non-Linear,HighCurve,90-10,0.9,RDA,Linear,0.932868352223191,0.8845
Non-Linear,HighCurve,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Non-Linear,HighCurve,90-10,0.9,AdaRDA,Linear,0.9432541980312681,0.902
Non-Linear,HighCurve,90-10,0.9,AdaRDA,Kernel,0.9473684210526315,0.9
Non-Linear,Moons,50-50,0.5,PA,Linear,0.5204597701149425,0.4785
Non-Linear,Moons,50-50,0.5,PA,Kernel,0.9263370332996973,0.927
Non-Linear,Moons,50-50,0.5,Perceptron,Linear,0.8482102401449932,0.8325
Non-Linear,Moons,50-50,0.5,Perceptron,Kernel,0.913913913913914,0.914
Non-Linear,Moons,50-50,0.5,AROW,Linear,0.8968735417638825,0.8895
Non-Linear,Moons,50-50,0.5,AROW,Kernel,0.9473135106937924,0.9495
Non-Linear,Moons,50-50,0.5,OGC,Linear,0.7650273224043715,0.7635
Non-Linear,Moons,50-50,0.5,OGC,Kernel,0.9184592296148074,0.9185
Non-Linear,Moons,50-50,0.5,SCW,Linear,0.6666666666666666,0.5
Non-Linear,Moons,50-50,0.5,SCW,Kernel,0.852233676975945,0.8495
Non-Linear,Moons,50-50,0.5,RDA,Linear,0.6989813839128908,0.5715
Non-Linear,Moons,50-50,0.5,RDA,Kernel,0.6666666666666666,0.5
Non-Linear,Moons,50-50,0.5,AdaRDA,Linear,0.6987022097509645,0.5705
Non-Linear,Moons,50-50,0.5,AdaRDA,Kernel,0.6666666666666666,0.5
Non-Linear,Moons,70-30,0.7,PA,Linear,0.6552901023890785,0.5455
Non-Linear,Moons,70-30,0.7,PA,Kernel,0.9484240687679083,0.928
Non-Linear,Moons,70-30,0.7,Perceptron,Linear,0.9153005464480874,0.876
Non-Linear,Moons,70-30,0.7,Perceptron,Kernel,0.9392857142857143,0.915
Non-Linear,Moons,70-30,0.7,AROW,Linear,0.9467414155571128,0.924
Non-Linear,Moons,70-30,0.7,AROW,Kernel,0.9393501805054152,0.916
Non-Linear,Moons,70-30,0.7,OGC,Linear,0.8969219756621332,0.856
Non-Linear,Moons,70-30,0.7,OGC,Kernel,0.9428571428571428,0.92
Non-Linear,Moons,70-30,0.7,SCW,Linear,0.8235294117647058,0.7
Non-Linear,Moons,70-30,0.7,SCW,Kernel,0.9292158223455933,0.898
Non-Linear,Moons,70-30,0.7,RDA,Linear,0.8441754916792739,0.7425
Non-Linear,Moons,70-30,0.7,RDA,Kernel,0.8235294117647058,0.7
Non-Linear,Moons,70-30,0.7,AdaRDA,Linear,0.8428053204353083,0.74
Non-Linear,Moons,70-30,0.7,AdaRDA,Kernel,0.8235294117647058,0.7
Non-Linear,Moons,90-10,0.9,PA,Linear,0.8491864831038799,0.759
Non-Linear,Moons,90-10,0.9,PA,Kernel,0.9763823284245624,0.9575
Non-Linear,Moons,90-10,0.9,Perceptron,Linear,0.9491430177016016,0.9095
Non-Linear,Moons,90-10,0.9,Perceptron,Kernel,0.97304806890803,0.9515
Non-Linear,Moons,90-10,0.9,AROW,Linear,0.9652509652509652,0.937
Non-Linear,Moons,90-10,0.9,AROW,Kernel,0.9756764143208527,0.9555
Non-Linear,Moons,90-10,0.9,OGC,Linear,0.9535534415221041,0.917
Non-Linear,Moons,90-10,0.9,OGC,Kernel,0.9752709085857183,0.9555
Non-Linear,Moons,90-10,0.9,SCW,Linear,0.9473684210526315,0.9
Non-Linear,Moons,90-10,0.9,SCW,Kernel,0.9699144355506486,0.9455
Non-Linear,Moons,90-10,0.9,RDA,Linear,0.9576294655220161,0.9235
Non-Linear,Moons,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Non-Linear,Moons,90-10,0.9,AdaRDA,Linear,0.9606169099421646,0.9285
Non-Linear,Moons,90-10,0.9,AdaRDA,Kernel,0.9473684210526315,0.9
Non-Linear,SineWave,50-50,0.5,PA,Linear,0.8373943311785181,0.8365
Non-Linear,SineWave,50-50,0.5,PA,Kernel,0.9236180904522613,0.924
Non-Linear,SineWave,50-50,0.5,Perceptron,Linear,0.7904616945712836,0.7935
Non-Linear,SineWave,50-50,0.5,Perceptron,Kernel,0.9233850776164246,0.9235
Non-Linear,SineWave,50-50,0.5,AROW,Linear,0.8552829243865798,0.8555
Non-Linear,SineWave,50-50,0.5,AROW,Kernel,0.9322033898305084,0.936
Non-Linear,SineWave,50-50,0.5,OGC,Linear,0.8267875125881168,0.828
Non-Linear,SineWave,50-50,0.5,OGC,Kernel,0.9234617308654327,0.9235
Non-Linear,SineWave,50-50,0.5,SCW,Linear,0.6666666666666666,0.5
Non-Linear,SineWave,50-50,0.5,SCW,Kernel,0.7928341754708315,0.7745
Non-Linear,SineWave,50-50,0.5,RDA,Linear,0.6906686260102866,0.579
Non-Linear,SineWave,50-50,0.5,RDA,Kernel,0.6666666666666666,0.5
Non-Linear,SineWave,50-50,0.5,AdaRDA,Linear,0.6995614035087719,0.589
Non-Linear,SineWave,50-50,0.5,AdaRDA,Kernel,0.6666666666666666,0.5
Non-Linear,SineWave,70-30,0.7,PA,Linear,0.7730441518202944,0.707
Non-Linear,SineWave,70-30,0.7,PA,Kernel,0.9506084466714388,0.931
Non-Linear,SineWave,70-30,0.7,Perceptron,Linear,0.8764792899408284,0.833
Non-Linear,SineWave,70-30,0.7,Perceptron,Kernel,0.940293171254916,0.9165
Non-Linear,SineWave,70-30,0.7,AROW,Linear,0.8839119074281448,0.8445
Non-Linear,SineWave,70-30,0.7,AROW,Kernel,0.9460247994164843,0.926
Non-Linear,SineWave,70-30,0.7,OGC,Linear,0.9069264069264069,0.871
Non-Linear,SineWave,70-30,0.7,OGC,Kernel,0.9385275196568977,0.914
Non-Linear,SineWave,70-30,0.7,SCW,Linear,0.8235294117647058,0.7
Non-Linear,SineWave,70-30,0.7,SCW,Kernel,0.8620209059233449,0.802
Non-Linear,SineWave,70-30,0.7,RDA,Linear,0.8264984227129337,0.725
Non-Linear,SineWave,70-30,0.7,RDA,Kernel,0.8235294117647058,0.7
