Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Non-Separable,Quadratic,90-10,0.9,OGC,Kernel,0.949944382647386,0.91
Non-Separable,Quadratic,90-10,0.9,SCW,Online,0.6170520231213873,0.47
Non-Separable,Quadratic,90-10,0.9,SCW,Kernel,0.9483493077742279,0.903
Non-Separable,Quadratic,90-10,0.9,RDA,Online,0.7596091205211727,0.631
Non-Separable,Quadratic,90-10,0.9,RDA,Kernel,0.945675105485232,0.897
Non-Separable,Quadratic,90-10,0.9,AdaRDA,Online,0.8680555555555556,0.772
Non-Separable,Quadratic,90-10,0.9,AdaRDA,Kernel,0.9457037427517132,0.897
Non-Separable,HighCurve,50-50,0.5,PA,Online,0.943640897755611,0.9435
Non-Separable,HighCurve,50-50,0.5,PA,Kernel,0.9564782391195598,0.9565
Non-Separable,HighCurve,50-50,0.5,Perceptron,Online,0.9370629370629371,0.937
Non-Separable,HighCurve,50-50,0.5,Perceptron,Kernel,0.9564782391195598,0.9565
Non-Separable,HighCurve,50-50,0.5,AROW,Online,0.9750499001996008,0.975
Non-Separable,HighCurve,50-50,0.5,AROW,Kernel,0.9553014553014553,0.957
Non-Separable,HighCurve,50-50,0.5,OGC,Online,0.9626679940268791,0.9625
Non-Separable,HighCurve,50-50,0.5,OGC,Kernel,0.955,0.955
Non-Separable,HighCurve,50-50,0.5,SCW,Online,0.9791666666666666,0.979
Non-Separable,HighCurve,50-50,0.5,SCW,Kernel,0.8615209988649262,0.878
Non-Separable,HighCurve,50-50,0.5,RDA,Online,0.968031968031968,0.968
Non-Separable,HighCurve,50-50,0.5,RDA,Kernel,0.34642414220752377,0.2095
Non-Separable,HighCurve,50-50,0.5,AdaRDA,Online,0.7179109966899595,0.6165
Non-Separable,HighCurve,50-50,0.5,AdaRDA,Kernel,0.3450558543649152,0.2085
Non-Separable,HighCurve,70-30,0.7,PA,Online,0.9356254572055597,0.912
Non-Separable,HighCurve,70-30,0.7,PA,Kernel,0.9717554522702896,0.9605
Non-Separable,HighCurve,70-30,0.7,Perceptron,Online,0.9654178674351584,0.952
Non-Separable,HighCurve,70-30,0.7,Perceptron,Kernel,0.9717554522702896,0.9605
Non-Separable,HighCurve,70-30,0.7,AROW,Online,0.9842744817726948,0.978
Non-Separable,HighCurve,70-30,0.7,AROW,Kernel,0.9758558558558559,0.9665
