Dataset,Algorithm,Shuffle,F1
HeartDisease_UCI,K-SCW,39,0.7848
HeartDisease_UCI,K-SCW,40,0.7105
HeartDisease_UCI,K-SCW,41,0.7529
HeartDisease_UCI,K-SCW,42,0.7826
HeartDisease_UCI,K-SCW,43,0.6591
HeartDisease_UCI,K-SCW,44,0.7246
HeartDisease_UCI,K-SCW,45,0.8000
HeartDisease_UCI,K-SCW,46,0.7692
HeartDisease_UCI,K-SCW,47,0.6750
HeartDisease_UCI,K-SCW,48,0.7654
HeartDisease_UCI,K-SCW,49,0.7089
HeartDisease_UCI,K-SCW,50,0.7126
HeartDisease_UCI,K-SCW,51,0.8182
HeartDisease_UCI,K-SCW,52,0.7297
HeartDisease_UCI,K-SCW,53,0.6506
HeartDisease_UCI,K-SCW,54,0.7123
HeartDisease_UCI,K-SCW,55,0.7921
HeartDisease_UCI,K-SCW,56,0.7407
HeartDisease_UCI,K-SCW,57,0.6216
HeartDisease_UCI,K-SCW,58,0.7143
HeartDisease_UCI,K-SCW,59,0.6364
HeartDisease_UCI,K-SCW,60,0.7123
HeartDisease_UCI,K-SCW,61,0.7143
HeartDisease_UCI,K-SCW,62,0.7742
HeartDisease_UCI,K-SCW,63,0.7013
HeartDisease_UCI,K-SCW,64,0.7385
HeartDisease_UCI,K-SCW,65,0.7674
HeartDisease_UCI,K-SCW,66,0.7407
HeartDisease_UCI,K-SCW,67,0.7692
HeartDisease_UCI,K-SCW,68,0.7191
HeartDisease_UCI,K-SCW,69,0.7529
HeartDisease_UCI,K-SCW,70,0.7250
HeartDisease_UCI,K-SCW,71,0.7529
HeartDisease_UCI,K-SCW,72,0.7945
HeartDisease_UCI,K-SCW,73,0.7416
HeartDisease_UCI,K-SCW,74,0.6389
HeartDisease_UCI,K-SCW,75,0.8172
HeartDisease_UCI,K-SCW,76,0.6957
HeartDisease_UCI,K-SCW,77,0.7209
HeartDisease_UCI,K-SCW,78,0.8000
HeartDisease_UCI,K-SCW,79,0.8500
